,Ovhd,Inst,Res,Non-inst,Bus/Fin,Comp/Eng/Sci,Mgnt,Admin/Off,Stdt,Aux,Prv/Stdt,Prv/Aux
New Horizons Medical Institute-Winder,-10.0,0,0,0,0,0,0,0,0,0,0,0
New Professions Technical Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
Northeast Technology Center-Kansas,-10.0,0,0,0,0,0,0,0,0,0,0,0
Northern California Institute of Cosmetology Inc,-10.0,0,0,0,0,0,0,0,0,0,0,0
Northern Institute of Cosmetology,-10.0,0,0,0,0,0,0,0,0,0,0,0
Northern Virginia School of Therapeutic Massage,-10.0,0,0,0,0,0,0,0,0,0,0,0
Northwest College-Beaverton,-10.0,0,0,0,0,0,0,0,0,0,0,0
Northwest College-Clackamas,-10.0,0,0,0,0,0,0,0,0,0,0,0
Northwest College-Hillsboro,-10.0,0,0,0,0,0,0,0,0,0,0,0
Northwest College-Medford,-10.0,0,0,0,0,0,0,0,0,0,0,0
Northwest Educational Center,-10.0,0,0,0,0,0,0,0,0,0,0,0
Northwest Hair Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
Northwest Nannies Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
Northwest Regional Technology Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
Northwest Technology Center-Fairview,-10.0,0,0,0,0,0,0,0,0,0,0,0
Northwest University-College of Adult and Professional Studies,-10.0,0,0,0,0,0,0,0,0,0,0,0
Northwestern College-Southwestern Campus,-10.0,0,0,0,0,0,0,0,0,0,0,0
Northwestern Technological Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
Nouvelle Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
Nova Academy of Cosmetology,-10.0,0,0,0,0,0,0,0,0,0,0,0
Nova College de Puerto Rico,-10.0,0,0,0,0,0,0,0,0,0,0,0
Nunation School of Cosmetology,-10.0,0,0,0,0,0,0,0,0,0,0,0
Nutek Academy of Beauty Inc,-10.0,0,0,0,0,0,0,0,0,0,0,0
Nuvo College of Cosmetology,-10.0,0,0,0,0,0,0,0,0,0,0,0
O'Briens Aveda Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
Northeast Technology Center-Claremore,-10.0,0,0,0,0,0,0,0,0,0,0,0
Northeast Technology Center-Afton,-10.0,0,0,0,0,0,0,0,0,0,0,0
Northeast Technical Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
Northeast Catholic College,-10.0,0,0,0,0,0,0,0,0,0,0,0
New School of Radio and Television,-10.0,0,0,0,0,0,0,0,0,0,0,0
New Tyler Barber College Inc,-10.0,0,0,0,0,0,0,0,0,0,0,0
New York Automotive and Diesel Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
New York Institute of Beauty,-10.0,0,0,0,0,0,0,0,0,0,0,0
New York Institute of Massage Inc,-10.0,0,0,0,0,0,0,0,0,0,0,0
New York Medical Career Training Center,-10.0,0,0,0,0,0,0,0,0,0,0,0
New York School for Medical and Dental Assistants,-10.0,0,0,0,0,0,0,0,0,0,0,0
New York School of Esthetics & Day Spa,-10.0,0,0,0,0,0,0,0,0,0,0,0
Newberry School of Beauty,-10.0,0,0,0,0,0,0,0,0,0,0,0
Newport School of Hairdressing-Main Campus,-10.0,0,0,0,0,0,0,0,0,0,0,0
Niles School of Cosmetology,-10.0,0,0,0,0,0,0,0,0,0,0,0
New Life Business Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
North Adrian's College of Beauty Inc,-10.0,0,0,0,0,0,0,0,0,0,0,0
North Florida Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
North Florida Cosmetology Institute Inc,-10.0,0,0,0,0,0,0,0,0,0,0,0
North West Beauty School,-10.0,0,0,0,0,0,0,0,0,0,0,0
North-West College-Glendale,-10.0,0,0,0,0,0,0,0,0,0,0,0
North-West College-Long Beach,-10.0,0,0,0,0,0,0,0,0,0,0,0
