Position,Count
Marketing Spec 3,2
Marketing Spec 4,5
Marketing Spec 5,1
Material Crd,1
Med Ast 1,139
Med Ast 2,126
Med Ast 2 Pd,7
Med Ast 2 Supv,5
Med Ast Pd,9
Med Ctr Bldg Maint Worker Sr,6
Med Ctr Cook,35
Med Ctr Cook Pd,2
Med Ctr Cook Sr,6
Med Ctr Custodian Sr,265
Med Ctr Custodian Sr Pd,17
Med Ctr Electr Tchn Trainee,1
Med Ctr Envir Svc Mgr 1,3
Med Ctr Envir Svc Supv 2,12
Med Ctr Envir Svc Worker 1,67
Med Ctr Envir Svc Worker 2,4
Med Ctr Food Svc Mgr 1,1
Med Ctr Food Svc Mgr 2,3
Med Ctr Food Svc Mgr 3,2
Med Ctr Food Svc Supv 2,10
Med Ctr Food Svc Worker Ld,11
Med Ctr Food Svc Worker Prn,110
Med Ctr Food Svc Worker Prn Pd,10
Med Ctr Food Svc Worker Sr,4
Med Ctr Security Ofcr,17
Med Ctr Security Ofcr Sr Supv,3
Med Ctr Storekeeper,1
Med Ctr Storekeeper Ld,8
Med Ctr Storekeeper Sr,2
Med Ctr Stores Worker,7
Med Interpreter 1,23
Med Interpreter Pd,16
Med Ofc Svc Crd 1,5
Med Ofc Svc Crd 2,291
Med Ofc Svc Crd 2 Pd,8
Med Ofc Svc Crd 3,265
Med Ofc Svc Crd 3 Pd,4
Med Ofc Svc Crd 3 Supv,3
Med Ofc Svc Crd 4,5
Med Ofc Svc Crd 4 Supv,27
Med Ofc Svc Crd 5 Supv,10
Med Ofc Svc Crd Ld 3,7
Med Rcds Adm Prn Supv,1
Media Comm Mgr 2,1
Mental Health Ther 1,15
Mental Health Ther 2,2
Mental Health Ther Supv,1
Mgn Counsel 3,1
Mgn Producer Dir,1
Mgr,218
Mgt Svc Ofcr 1,9
Mgt Svc Ofcr 2,25
Mgt Svc Ofcr 3,24
Mgt Svc Ofcr 4,39
Mri Tchno,12
Mri Tchno Ld,4
Mri Tchno Pd,4
Museum Preparator Prn,1
Museum Sci,16
Museum Sci Ast,6
Museum Sci Prn,6
Museum Sci Prn Supv,1
Museum Sci Sr,8
Museum Sci Sr Supv,1
Music Ther Nex,1
Non Evaluated Msp,1
Non Evaluated Pss Ex,34
Non Evaluated Pss Nex,24
Non-Phys Clin Train,3
Non-Senate Acad Emeritus(Wos),4
Nuc Med Tchno Sr,12
Nuc Med Tchno Sr Pd,2
Nuc Med Tchno Sr Supv,1
Nurse Mgr,2
Nurse Pd,262
Nurse Practitioner 1,1
Nurse Practitioner 2,73
Nurse Practitioner 3,4
Nurse Practitioner Pd,7
Nurse Practitioner Supv 2 Ex,1
Nurse Practitioner Supv 3,7
Nursery Tchn,7
Nursery Tchn Sr,5
Occupational Ther 1 Nex,4
Occupational Ther 2 Nex,9
Occupational Ther 2 Pd,1
Occupational Ther 3 Ex,11
Occupational Ther 4 Supv,2
Occupational Ther Cert Ast 1,3
Occupational Ther Cert Ast 2,1
Occupational Ther Cert Ast 3,1
Ombudsperson 3,1
Operating Room Ast 1,49
Operating Room Ast 2,2
Operating Room Ast Pd,3
Operating Room Equip Spec 2,12
Optician,8
Optometrist Ex,1
Optometrist Prn,2
Optometrist Sr,6
Organizational Cnslt 2,3
Organizational Cnslt 3,2
Organizational Cnslt 4,1
Organizational Dev Mgr 1,1
Orthopedic Tchn Prn,1
Orthopedic Tchn Sr,7
Orthoptist,1
Oth Post-Md Train 2-8/Non Rep,80
Painter,23
Parking Ast,14
Parking Ops Enforcement Mgr 1,1
Parking Ops Enforcement Supv 1,1
Parking Ops Spec 2,1
Parking Repr Ld,1
Parking Repr Sr,11
Parking Supv Prn,1
Parking Supv Sr,2
Patient Biller 1,1
Patient Biller 2,35
Patient Biller 3,153
Patient Biller 3 Pd,2
Patient Biller 4,22
Patient Biller Supv 4,16
Patient Biller Supv 5,16
Patient Care Dialysis Tchn 1,3
Patient Escort,37
Patient Escort Pd,2
Patient Escort Sr,4
Patient Rcds Abstractor 1,1
Patient Rcds Abstractor 2,13
Patient Rcds Abstractor 3,77
Patient Rcds Abstractor 3 Pd,1
Patient Rcds Abstractor 3 Supv,1
Patient Rcds Abstractor 4,59
Patient Rcds Abstractor 4 Pd,1
Patient Rcds Abstractor 4 Supv,3
Perfusionist Prn Supv,1
Perfusionist Sr,5
Pest Cntrl Opr,1
Pgy I Pharmacy Resid/Non Rep,16
Pgy II Pharmacy Resid/Non Rep,13
Pharmaceutical Svc Chf,1
Pharmaceutical Svc Chf Asc,1
Pharmaceutical Svc Chf Ast,7
Pharmacist 2 Pd,26
Pharmacist Spec,5
Pharmacist Sr Ex,38
Pharmacist Sr Mgr,2
Pharmacist Supv,14
Pharmacy Tchn 2,80
Pharmacy Tchn 2 Pd,35
Pharmacy Tchn 3,39
Pharmacy Tchn 3 Pd,1
Pharmacy Tchn Supv,6
Phlebotomist,1
Phlebotomist Cert Tchn 2,60
Phlebotomist Cert Tchn 2 Pd,3
Phlebotomist Cert Tchn 3,4
Phlebotomist Cert Tchn Supv,4
Photographer,1
Photographer Prn,2
Photographer Sr,1
Phys Plt Mech,61
Phys Plt Mech 2,4
Phys Plt Mech 3,1
Phys Plt Mech Supv Ex,13
Phys Plt Opr Supv,1
Phys Plt Supt,11
Phys Plt Supt Ast,10
Phys Plt Supt Sr,8
Phys Ther 2 Nex,29
Phys Ther 2 Pd,8
Phys Ther 3,3
Phys Ther 3 Ex,19
Phys Ther 4,1
Phys Ther 4 Supv,1
Phys Ther 5,1
Phys Ther Ast 2,14
Phys Ther Ast 3,1
Physcn Ast,10
Physcn Ast Pd,1
Physcn Ast Sr,3
Physcn Ast Sr Supv,1
Physcn Diplomate Sr,8
Physcn Mgr 1,1
Physcn Sr,5
Planner Sr,1
Planning Spec 3,3
Plumber,27
Plumber Ld,2
Police Chf Mgr 3,1
Police Lieutenant Msp,4
Police Ofcr,35
Police Ofcr 1,3
Police Sergeant,9
Polysomnography Tchno Sr,4
Postdoc-Employee,1004
Postdoc-Fellow,6
Prg Repr 1,21
Prg Repr 2,52
Prg Repr 3,22
Prg Repr 3 Supv,2
Procurement Mgr 1,1
Procurement Supv 2,2
Prod Cntrl Anl 2,1
Producer Dir,2
Producer Dir Ast,1
Producer Dir Prn,1
Producer Dir Sr,5
Prof Emeritus(Wos),4
Prof In Res-Hcomp,35
Prof In Res-Sft-Vm,3
Prof Of Clin-Fy,15
Prof Of Clin-Hcomp,95
Prof-Ay,354
Prof-Ay-1/9-B/E/E,1
Prof-Ay-1/9-Bus/Econ/Eng-Recal,1
Prof-Ay-B/E/E,153
Prof-Ay-Bus/Econ/Eng-Recalled,1
Prof-Ay-Law,31
Prof-Fy,119
Prof-Fy-B/E/E,18
Prof-Hcomp,154
Prof-Sft-Vm,65
Professor Recalled-Acad Yr-1/9,2
Prog Coord,12
Progr 1,11
Progr 2,26
Progr 3,69
Progr 3 Supv,1
Progr 4,78
Progr 4 Supv,4
Progr 5,66
Progr 5 Supv,2
Progr 6,53
Progr 6 Supv,5
Progr 7,56
Progr 7 Supv,17
Progr 8 Supv,12
Proj Scientist-Fy,27
Proj Scientist-Fy-B/E/E,2
Project Policy Anl 1,3
Project Policy Anl 2,4
Project Policy Anl 3,14
Project Policy Anl 4,3
Project Policy Anl 5,4
Prosthetist Orthotist,2
Prosthetist Orthotist Sr,1
Psychologist 1,3
Psychologist 2,25
Psychologist 2 Supv,3
Psychologist 3,5
Psychology Intern Ex,33
Psychometrist,4
Publ Crd,5
Publ Crd Prn,1
Publ Crd Sr,1
Publ Educ Spec 1,24
Publ Educ Spec 2,27
Publ Educ Spec 3,2
Publ Educ Spec 4,1
Publ Educ Supv 2,6
Publ Events Mgr,11
Publ Events Mgr Ast,4
Publ Events Mgr Prn,4
Publ Events Mgr Sr,6
Publ Events Mgr Sr Supv,2
Publ Info Repr,1
Publ Info Repr Sr,3
Publ Safety Dispatcher,9
Publ Safety Dispatcher Supv,1
Publications Prod Spec 4,1
Publications Prod Supv 2,1
Pulmonary Tchn 1,13
Pulmonary Tchn 2,2
Pulmonary Tchn 3,9
Pulmonary Tchn 4,2
Pulmonary Tchn Pd,3
Qa Release Mgt Anl 2,2
Qa Release Mgt Anl 3,7
Qa Release Mgt Anl 4,1
Rad Equip Spec Supv,1
Rad Ther Tchno,10
Rad Ther Tchno Chf,1
Rad Ther Tchno Pd,5
Rad Ther Tchno Sr,5
Radlg Ast 1,34
Radlg Ast 2,1
Radlg Ast Pd,5
